[2026-07-10 11:03:56] 启动监控：买入步长 1.2%，手续费 买0.0%/卖0.5%，单份获利需上涨 ≥1.51%
[2026-07-10 11:03:57] 企业微信通知已发送: 积存金监控已启动
[2026-07-10 11:04:28] 现价 900.10 | 持仓 0 份 | 下格买入 889.37 | 最近卖出 —
[2026-07-10 11:04:58] 现价 900.11 | 持仓 0 份 | 下格买入 889.37 | 最近卖出 —
[2026-07-10 11:05:29] 现价 900.00 | 持仓 0 份 | 下格买入 889.37 | 最近卖出 —
[2026-07-10 11:05:59] 现价 900.11 | 持仓 0 份 | 下格买入 889.37 | 最近卖出 —
[2026-07-10 11:06:30] 现价 900.37 | 持仓 0 份 | 下格买入 889.57 | 最近卖出 —
[2026-07-10 11:07:00] 现价 900.69 | 持仓 0 份 | 下格买入 889.88 | 最近卖出 —
[2026-07-10 11:07:31] 现价 900.82 | 持仓 0 份 | 下格买入 890.01 | 最近卖出 —
[2026-07-10 11:08:01] 现价 900.78 | 持仓 0 份 | 下格买入 890.01 | 最近卖出 —
[2026-07-10 11:08:32] 现价 900.86 | 持仓 0 份 | 下格买入 890.05 | 最近卖出 —
[2026-07-10 11:09:02] 现价 900.83 | 持仓 0 份 | 下格买入 890.05 | 最近卖出 —
[2026-07-10 11:09:33] 现价 900.92 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:10:03] 现价 900.59 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:10:34] 现价 900.43 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:11:04] 现价 900.22 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:11:35] 现价 900.20 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:12:05] 现价 900.15 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:12:36] 现价 900.14 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:13:06] 现价 900.14 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:13:37] 现价 900.09 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:14:07] 现价 900.07 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:14:37] 现价 899.76 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:15:08] 现价 899.80 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:15:38] 现价 899.73 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:16:09] 现价 899.72 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:16:39] 现价 899.86 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
[2026-07-10 11:17:10] 现价 899.79 | 持仓 0 份 | 下格买入 890.11 | 最近卖出 —
